empresa;codigo;nome;detalhe;executivo;url
fenix;289;Circular Vargem Grande via Rio Vermelho;;False;https://www.consorciofenix.com.br/horarios/circular-vargem-grande-via-rio-vermelho,289
fenix;282;Vargem Pequena;;False;https://www.consorciofenix.com.br/horarios/vargem-pequena,282
fenix;V-282;Vargem Pequena via Esc. Prof. Zulma Freitas;;False;https://www.consorciofenix.com.br/horarios/vargem-pequena-via-esc-prof-zulma-freitas,V-282
fenix;846;Cacupé;;False;https://www.consorciofenix.com.br/horarios/cacupe,846
fenix;V-846;Cacupé via Caminho dos Açores;;False;https://www.consorciofenix.com.br/horarios/cacupe-via-caminho-dos-acores,V-846
fenix;170;Caminho da Cruz via João Paulo;;False;https://www.consorciofenix.com.br/horarios/caminho-da-cruz-via-joao-paulo,170
fenix;151;Centro Administrativo;;False;https://www.consorciofenix.com.br/horarios/centro-administrativo,151
fenix;164;Córrego Grande via Poção;;False;https://www.consorciofenix.com.br/horarios/corrego-grande-via-pocao,164
fenix;165;Itacorubi;;False;https://www.consorciofenix.com.br/horarios/itacorubi,165
fenix;169;Monte Verde via Mané Vicente;;False;https://www.consorciofenix.com.br/horarios/monte-verde-via-mane-vicente,169
fenix;173;Morro do Quilombo;;False;https://www.consorciofenix.com.br/horarios/morro-do-quilombo,173
fenix;V-173;Morro do Quilombo via SC 404;;False;https://www.consorciofenix.com.br/horarios/morro-do-quilombo-via-sc-404,V-173
fenix;178;Saco Grande Retorno SC-401;;False;https://www.consorciofenix.com.br/horarios/saco-grande-retorno-sc-401,178
fenix;176;Saco Grande via HU;;False;https://www.consorciofenix.com.br/horarios/saco-grande-via-hu,176
